Company Name,Estimated Size,Location,Website,LinkedIn URL,Decision Maker Title,Event Type Focus,Priority,Contact Email
Marble,50-100,London,marbleldn.com,https://linkedin.com/company/marble-london,Creative Director (Hal Orchard),Experiential/Brand activations,High,hello@marbleldn.com
Sleek Events,100+,London,www.sleekevents.com,https://linkedin.com/company/sleek-events,CEO (Jennifer Davidson),Global experiential/Hybrid events,High,speaktosleek@sleekevents.com
Maximillion,50-100,"Edinburgh, London",maximillion.co.uk,https://linkedin.com/company/maximillion,Director,Corporate events/Team building,High,events@maximillion.co.uk
Live Group,100+,London/Wales,livegroup.co.uk,https://linkedin.com/company/live-group,CEO,Conferences/Summits/Government events,High,hello@livegroup.co.uk
Eventologists,20-50,"Leicester, Birmingham, Manchester",eventologists.co.uk,https://linkedin.com/company/eventologists,Director,Corporate events/Midlands focus,High,info@eventologists.co.uk
The Events Company,20-50,UK-wide,theeventscompany.co.uk,https://linkedin.com/company/the-events-company,MD,Corporate events/SMEs,Medium,info@theeventscompany.co.uk
Julia Charles Event Management,20-50,UK,juliacharleseventmanagement.co.uk,https://linkedin.com/company/julia-charles-event-management,Founder,Brand activations/Luxury events,High,hello@juliacharleseventmanagement.co.uk
VOLO Events,20-50,London,voloevents.com,https://linkedin.com/company/volo-events,Director,Experiential marketing,High,hello@voloevents.com
Make Honey,20-50,London,makehoney.com,https://linkedin.com/company/make-honey,MD,Experiential/B2B events,High,hello@makehoney.com
Pearl Lemon Experiences,20-50,London,pearllemonexperiences.com,https://linkedin.com/company/pearl-lemon-experiences,Director,Brand activations,Medium,info@pearllemonexperiences.com
Cogs & Marvel,20-50,"London, Dublin",cogsandmarvel.com,https://linkedin.com/company/cogs-and-marvel,CEO,Experiential marketing,High,hello@cogsandmarvel.com
Boo Productions,20-50,London,booproductions.com,https://linkedin.com/company/boo-productions,Director,Experiential/Promotional staffing,Medium,info@booproductions.com
Wonderland Agency,20-50,London,wonderland-agency.com,https://linkedin.com/company/wonderland-agency,Director,Corporate events/Product launches,High,hello@wonderland-agency.com
Event Concept,20-50,London,eventconcept.com,https://linkedin.com/company/event-concept,Director,Exhibitions/Conferences/Awards,High,enquiries@eventconcept.com
ConnectIn Events,20-50,Manchester,connectinevents.co.uk,https://linkedin.com/company/connectin-events,Director,Corporate events/North West,High,hello@connectinevents.co.uk
Eventurous,50-100,"London, Manchester, Birmingham",eventurous.co.uk,https://linkedin.com/company/eventurous,Director,Corporate events/Conferences/Incentives,High,hello@eventurous.co.uk
Blackberry Events,10-20,Birmingham,blackberry-events.co.uk,https://linkedin.com/company/blackberry-events,Director,Corporate events/Midlands,Medium,info@blackberry-events.co.uk
KDM Events,20-50,Birmingham,kdmevents.co.uk,https://linkedin.com/company/kdm-events,Director,Conferences/Team building,Medium,enquiries@kdmevents.co.uk
Giant Leap Events,20-50,UK,table-art.co.uk,https://linkedin.com/company/giant-leap-events,Director,Awards/Recognition programmes,High,hello@giantleapevents.co.uk
Experience Events,20-50,London,experience-event.com,https://linkedin.com/company/experience-events,Director,Corporate events/Production,High,info@experience-event.com
FMI Agency,20-50,London,fmiagency.com,https://linkedin.com/company/fmi-agency,Director,Corporate events/Incentives,High,enquiries@fmiagency.com
WE ARE WONDER,20-50,London,wearewonder.com,https://linkedin.com/company/we-are-wonder,Director,Experiential marketing,High,hello@wearewonder.com
Canvas Events,20-50,London,canvas-events.co.uk,https://linkedin.com/company/canvas-events,Director,Awards ceremonies/Venues,Medium,info@canvas-events.co.uk
Drum,100+,London,drum.co.uk,https://linkedin.com/company/drum,CEO,Experiential marketing,High,hello@drum.co.uk
Hands,20-50,London,hands.co.uk,https://linkedin.com/company/hands,Director,Brand activations,Medium,info@hands.co.uk
Jack Morton,100+,London,jackmorton.com,https://linkedin.com/company/jack-morton,MD UK,Global experiential,High,ukinfo@jackmorton.com
BBD Perfect,20-50,London,bbdperfect.com,https://linkedin.com/company/bbd-perfect,Director,Events/Brand experiences,Medium,hello@bbdperfect.com
Livity,20-50,London,livity.co.uk,https://linkedin.com/company/livity,MD,Youth marketing/Experiential,Medium,hello@livity.co.uk
Marlies,20-50,London,marlies.com,https://linkedin.com/company/mrlies,Director,Brand experiences,Medium,info@marlies.com
First Event,20-50,UK,firstevent.co.uk,https://linkedin.com/company/first-event,Director,Corporate events/Incentives,High,enquiries@firstevent.co.uk
Goldflake Events,10-20,London,goldflakeevents.com,https://linkedin.com/company/goldflake-events,Director,Luxury corporate events,Medium,hello@goldflakeevents.com
Alive Events,20-50,London,aliveevents.com,https://linkedin.com/company/alive-events,Director,Corporate events/Brand activations,Medium,info@aliveevents.com
Motive8,20-50,Bristol,motive8.co.uk,https://linkedin.com/company/motive8,Director,Corporate events/Team building,Medium,hello@motive8.co.uk
Innovision,50-100,London,innovisionworldwide.com,https://linkedin.com/company/innovision,CEO,Global events/Experiential,High,hello@innovisionworldwide.com
Blaze,20-50,London,blaze.co.uk,https://linkedin.com/company/blaze,Director,Corporate events/Experiential,Medium,info@blaze.co.uk
Mfx,20-50,London,mfx.co.uk,https://linkedin.com/company/mfx,Director,Events/Experiential,Medium,hello@mfx.co.uk
Splenda,20-50,London,splendagroup.com,https://linkedin.com/company/splenda,MD,Corporate events/Experiential,Medium,hello@splendagroup.com
Spark Creative,10-20,London,spark-creative.com,https://linkedin.com/company/spark-creative,Director,Brand activations/Events,Low,hello@spark-creative.com
Wallace House Events,10-20,London,wallacehouseevents.com,https://linkedin.com/company/wallace-house-events,Director,Corporate events/venues,Low,info@wallacehouseevents.com
The Events Company,20-50,UK-wide,theeventscompany.co.uk,https://linkedin.com/company/the-events-company,MD,Corporate events,Medium,enquiries@theeventscompany.co.uk
M Creative,20-50,London,mcreative.co.uk,https://linkedin.com/company/m-creative,Director,Brand activations,Medium,hello@mcreative.co.uk
ScienceMagic,20-50,London,sciencemagic.co.uk,https://linkedin.com/company/science-magic,Director,Digital events/Experiential,Medium,hello@sciencemagic.co.uk
GTB,50-100,London,gtb.com,https://linkedin.com/company/gtb,Director,Brand activations/Events,Medium,info@gtb.com
H Presentations,10-20,London,h-presentations.com,https://linkedin.com/company/h-presentations,Director,Corporate presentations,Low,enquiries@h-presentations.com
EiR,20-50,London,eirassociates.com,https://linkedin.com/company/eir-associates,Director,Corporate events/Conferences,Medium,hello@eirassociates.com
19 Events,10-20,London,19events.co.uk,https://linkedin.com/company/19events,Director,Corporate events,Low,info@19events.co.uk
20 Feet Events,10-20,London,20feetevents.com,https://linkedin.com/company/20-feet-events,Director,Creative events/Brand experiences,Medium,hello@20feetevents.com
Cheryl Kaur Events,20-50,London,cherylkaur.com,https://linkedin.com/company/cheryl,Director,Events/Brand experiences,Low,hello@cherylkaur.com
