Company Name,Estimated Size,Location,Website,LinkedIn URL,Decision Maker Title,Event Type Focus,Priority
Marble,50-100,London,marbleldn.com,https://linkedin.com/company/marble-london,Creative Director,Experiential/Brand activations,High
Sleek Events,100+,London,www.sleekevents.com,https://linkedin.com/company/sleek-events,CEO,Global experiential/Hybrid events,High
Maximillion,50-100,"Edinburgh, London",maximillion.co.uk,https://linkedin.com/company/maximillion,Director,Corporate events/Team building,High
Live Group,100+,London/Wales,livegroup.co.uk,https://linkedin.com/company/live-group,CEO,Conferences/Summits/Government events,High
Eventologists,20-50,"Leicester, Birmingham, Manchester",eventologists.co.uk,https://linkedin.com/company/eventologists,Director,Corporate events/Midlands focus,High
The Events Company,20-50,UK-wide,theeventscompany.co.uk,https://linkedin.com/company/the-events-company,MD,Corporate events/SMEs,Medium
Julia Charles Event Management,20-50,UK,juliacharleseventmanagement.co.uk,https://linkedin.com/company/julia-charles-event-management,Founder,Brand activations/Luxury events,High
VOLO Events,20-50,London,voloevents.com,https://linkedin.com/company/volo-events,Director,Experiential marketing,High
Make Honey,20-50,London,makehoney.com,https://linkedin.com/company/make-honey,MD,Experiential/B2B events,High
Pearl Lemon Experiences,20-50,London,pearllemonexperiences.com,https://linkedin.com/company/pearl-lemon-experiences,Director,Brand activations,Medium
Cogs & Marvel,20-50,"London, Dublin",cogsandmarvel.com,https://linkedin.com/company/cogs-and-marvel,CEO,Experiential marketing,High
Boo Productions,20-50,London,booproductions.com,https://linkedin.com/company/boo-productions,Director,Experiential/Promotional staffing,Medium
Wonderland Agency,20-50,London,wonderland-agency.com,https://linkedin.com/company/wonderland-agency,Director,Corporate events/Product launches,High
Event Concept,20-50,London,eventconcept.com,https://linkedin.com/company/event-concept,Director,Exhibitions/Conferences/Awards,High
ConnectIn Events,20-50,Manchester,connectinevents.co.uk,https://linkedin.com/company/connectin-events,Director,Corporate events/North West,High
Eventurous,50-100,"London, Manchester, Birmingham",eventurous.co.uk,https://linkedin.com/company/eventurous,Director,Corporate events/Conferences/Incentives,High
Blackberry Events,10-20,Birmingham,blackberry-events.co.uk,https://linkedin.com/company/blackberry-events,Director,Corporate events/Midlands,Medium
KDM Events,20-50,Birmingham,kdmevents.co.uk,https://linkedin.com/company/kdm-events,Director,Conferences/Team building,Medium
Giant Leap Events,20-50,UK,table-art.co.uk,https://linkedin.com/company/giant-leap-events,Director,Awards/Recognition programmes,High
Experience Events,20-50,London,experience-event.com,https://linkedin.com/company/experience-events,Director,Corporate events/Production,High
FMI Agency,20-50,London,fmiagency.com,https://linkedin.com/company/fmi-agency,Director,Corporate events/Incentives,High
WE ARE WONDER,20-50,London,wearewonder.com,https://linkedin.com/company/we-are-wonder,Director,Experiential marketing,High
Canvas Events,20-50,London,canvas-events.co.uk,https://linkedin.com/company/canvas-events,Director,Awards ceremonies/Venues,Medium
Drum,100+,London,drum.co.uk,https://linkedin.com/company/drum,CEO,Experiential marketing,High
Hands,20-50,London,hands.co.uk,https://linkedin.com/company/hands,Director,Brand activations,Medium
Jack Morton,100+,London,jackmorton.com,https://linkedin.com/company/jack-morton,MD UK,Global experiential,High
BBD Perfect,20-50,London,bbdperfect.com,https://linkedin.com/company/bbd-perfect,Director,Events/Brand experiences,Medium
M   Creative,20-50,London,mcreative.co.uk,https://linkedin.com/company/m-creative,Director,Brand activations,Medium
Livity,20-50,London,livity.co.uk,https://linkedin.com/company/livity,MD,Youth marketing/Experiential,Medium
Marlies,20-50,London,marlies.com,https://linkedin.com/company/mrlies,Director,Brand experiences,Medium
ScienceMagic,20-50,London,sciencemagic.co.uk,https://linkedin.com/company/science-magic,Director,Digital events/Experiential,Medium
INITIATIVE,50-100,London,initiative.com,https://linkedin.com/company/initiative,MD,Media events/Campaigns,Medium
Mediacom,50-100,London,mediacom.com,https://linkedin.com/company/mediacom,Events Director,Corporate events/Experiential,Medium
Minds+),20-50,London,minds préalables.com,https://linkedin.com/company/minds,Director,Events/Experiential,Medium
GTB,50-100,London,gtb.com,https://linkedin.com/company/gtb,Director,Brand activations/Events,Medium
H Presentations,10-20,London,h-presentations.com,https://linkedin.com/company/h-presentations,Director,Corporate presentations,Low
